language_id,mean_speaker_K_rarefied,boot_K_lo,boot_K_hi,mean_effective_categories,boot_eff_lo,boot_eff_hi,mean_delta50,boot_delta_lo,boot_delta_hi,mean_valid_chips,median_valid_chips,n_speakers,n_rarefaction_eligible,language_K
77,3.446499477508332,3.2740856844220567,3.6206896551303354,2.8450650590148188,2.780924001443838,2.9160810884652077,47.975192568434004,36.28372832289202,59.6732200548986,329.7241379310345,330.0,29,29,4
78,9.474876540879597,8.499563290199394,10.592606321005258,7.42882311064795,6.913853472597791,7.8395799060767155,27.85338865462536,16.319808743345416,35.506548130583425,329.0,330.0,6,6,9
79,6.789696764787896,6.467636362561863,7.111808876370456,5.575770022424463,5.354425936988313,5.834907919400993,39.96711602858225,34.99288754268241,44.4239072121336,329.84,330.0,25,25,7
80,9.651880369941273,8.983378992991309,10.368722528438736,5.542846313481013,5.205682216221132,5.909798592054728,30.26757104393339,21.748203930488373,38.489703187000615,323.28,330.0,25,22,10
81,6.4902674777505185,6.094848484131969,6.8908380431246,5.409014160794356,5.176401782140928,5.647925691462367,28.926065441211524,22.097000983203692,35.23536357397343,289.5833333333333,299.0,24,10,6
82,6.289417286750801,5.789676397548053,6.79718138116289,4.682711203076688,4.27062398291868,5.102615734495103,25.803766909125336,15.680849887739535,36.74729773681847,330.0,330.0,20,20,6
83,7.831189572021917,6.906043864179249,8.834845248122283,6.372859896905889,5.576902532697299,7.307443403701578,14.993898845612934,7.252863323490866,23.948959853934504,329.64285714285717,330.0,14,14,9
84,13.346846817016853,11.949088773984794,14.713904542829065,9.132001474610956,8.367890002053949,9.950195294801413,20.366353686860542,14.553994336202397,26.166635368532592,324.56,330.0,25,22,12
85,6.747221767102373,6.4312926632537515,7.064961279093583,4.635398451197914,4.48221849921334,4.790793973118383,39.37518165529524,30.240405838665485,47.517895443596196,330.0,330.0,25,25,7
86,12.979907407668316,11.908847272390103,14.009038752808129,8.31902098451856,7.724299624614881,8.872369491089833,9.009031561574272,4.616943095118,13.49506237123612,329.36,330.0,25,25,13
87,6.399618260964533,6.040784186179151,6.758687809766983,5.673694912406754,5.400441290975233,5.958384777448756,31.836167684036724,25.558955512732947,37.43624918402695,310.92,330.0,25,22,7
88,9.86735942038453,8.928838395149238,10.978664130432424,7.0225849145630805,6.649664409397804,7.405485602759728,10.891971467692846,5.098197063564555,17.36027728406791,311.0833333333333,328.0,24,21,8
89,7.226623105764937,6.6112937837865955,7.8450063329963085,5.784698677700994,5.4345486866053205,6.1584958807523815,38.10712904899513,35.071488037822974,40.837075928511766,314.61538461538464,329.0,26,21,6
90,6.77122486028331,6.519172558150986,6.986450277220639,5.479292893094833,5.249374128084097,5.713624930211408,30.545859627795007,23.25806608839953,37.143232342314555,326.4,330.0,25,23,7
91,13.798007256957414,11.949640374621948,16.17460478899312,8.546768918416529,7.1928161122484235,10.037320540682083,12.220827065322291,3.871658020892031,23.170000043553205,318.0,330.0,8,7,14
92,7.49383968552101,6.333333333333331,8.660506352185218,6.750832047382329,5.462238334232736,8.197020148580956,19.888910182725024,7.955985490348063,32.08186279075825,298.55555555555554,320.0,9,6,11
93,6.99606823193481,6.25,7.746066331024556,5.27068685470723,4.746692880527642,5.806610739450627,24.304737276710053,10.212446851278214,38.397027702141884,311.3333333333333,320.0,6,4,7
94,6.47979479724313,6.1596944757319685,6.839790023081534,5.848902831174337,5.5366334006140425,6.179767371080757,35.64463001386797,30.851807791356983,39.6601434859874,330.0,330.0,25,25,7
95,9.01287550858483,8.423282071067343,9.601280454468235,7.026095306164449,6.684843674600878,7.380322844120262,19.820215784349106,13.38865939993358,26.155369292945434,325.9230769230769,330.0,26,25,8
96,5.957045957617456,5.798523076912392,6.075569230747663,4.947065198433648,4.798357412050317,5.067544694415533,37.13868401832971,31.19736663183936,42.56517047475339,329.56,330.0,25,25,7
97,5.904437751224358,5.0672069806631,6.822119464331084,4.141823399392157,3.776926291658075,4.529564243896553,22.120069239045932,12.862075643113599,32.04660632549677,329.92,330.0,25,25,7
98,8.776919293203944,8.255154165588367,9.344963350454147,6.575055767048327,6.177580895971455,6.979931315611955,17.33779643023051,10.67877466131226,24.401929153820547,329.92,330.0,25,25,9
99,4.713378684807256,4.285714285714286,4.999092970521542,3.6731852820540265,3.4507480222432214,3.887470966444241,31.800844982758825,20.614433121263815,43.582749272109304,318.68,330.0,25,22,5
100,5.673508162523713,5.353605875856884,5.91547332240646,4.674484218140709,4.312062599297214,5.011550660995836,40.96933435126838,32.35962662897355,49.22205816457596,329.96,330.0,25,25,6
101,7.147226928137247,6.8273096902255155,7.463241836215236,6.03718831149082,5.684225907915627,6.385319092346548,27.850653753677012,22.469436104944826,32.66218291010966,329.92,330.0,25,25,8
102,5.471905171836175,4.957961534129204,5.994667946708882,4.484235216940469,4.1931248389985365,4.801369626975562,25.64817212610133,16.682428542531213,34.41857320470466,329.64,330.0,25,25,5
103,9.889472416205457,8.219847838338701,11.860078913117572,7.206614470959658,6.257372172598644,8.214062611663364,20.13183910260315,12.35094762718658,28.589272490018338,329.8695652173913,330.0,23,23,8
104,3.195889310481941,3.04,3.353723909717681,2.9116624053289404,2.8637479726400934,2.966447961347632,64.2932391225571,58.587547605884396,67.59306696668622,329.96,330.0,25,25,3
105,3.0,3.0,3.0,2.7850001246241294,2.7567825909390518,2.814075370805435,31.255032200236492,19.97097384701027,43.54187180836804,329.4074074074074,330.0,27,27,3
106,11.34083678009872,11.016702679585427,11.625092783052486,8.875303207147324,8.554661382532545,9.17350169755426,21.251940696001007,15.400133077493368,26.50728494706616,329.92,330.0,25,25,12
107,6.127240051297152,5.705494678329384,6.54723324053365,5.224553704364414,4.999288302817434,5.467856973026351,29.171178778182544,21.510625374527947,35.98204171983111,312.4,329.0,25,21,5
108,6.73801658224309,6.450518235807369,7.021943361310391,5.413708743141595,5.19544099529251,5.624638799150656,30.44463112912766,23.658882197228284,36.39216190650969,326.2,329.0,25,24,6
109,7.677087291621682,6.903533544031638,8.53967731876811,5.551298670638669,5.1657282896548615,5.985657984437205,31.884497718329495,24.29146768080643,38.86214240834388,327.48,330.0,25,24,7
110,7.829573639226689,7.4758601502672475,8.151780701534403,6.426633179669179,6.18830393993521,6.649117794449629,34.9408845818577,29.12243918045304,39.58875637238495,329.92,330.0,25,25,8
