language_id,speaker_id,group_id,speaker_K_raw,speaker_K_rarefied,n_observed_chips,n_missing_chips,n_valid_pairs,H_label_MillerMadow,effective_colour_categories,rarefaction_target,rarefaction_eligible
87,9,87:9,6,6.0,330,0,54285,1.7464754216656442,5.734355829848663,313,True
87,10,87:10,5,5.0,330,0,54285,1.583660218865601,4.872758573216416,313,True
87,11,87:11,6,5.951367781155005,329,1,53956,1.5865645068131722,4.886931037709011,313,True
87,12,87:12,8,8.0,330,0,54285,2.0658183725857615,7.891753650530188,313,True
87,13,87:13,6,6.0,330,0,54285,1.6945278151030354,5.444074748341571,313,True
87,14,87:14,6,5.997494703877682,330,0,54285,1.6158521327440747,5.03217417737116,313,True
87,15,87:15,5,5.0,330,0,54285,1.5998435945827933,4.952257803871341,313,True
87,16,87:16,6,6.0,330,0,54285,1.783663619626741,5.95162100118215,313,True
87,17,87:17,7,6.999904781397785,329,1,53956,1.634591289432866,5.127361961705176,313,True
87,18,87:18,7,6.948484848484849,330,0,54285,1.7090990784821352,5.523982560400963,313,True
87,19,87:19,6,6.0,330,0,54285,1.7430388858591512,5.714683332693305,313,True
87,20,87:20,7,7.0,328,2,53628,1.896274413029268,6.661031903590183,313,True
87,21,87:21,7,6.999999999999788,330,0,54285,1.695320279888868,5.448390695763379,313,True
87,22,87:22,6,5.997494703877682,330,0,54285,1.6017326089693518,4.961621531432397,313,True
87,23,87:23,6,5.999999999754795,330,0,54285,1.5932296029379367,4.919611691698218,313,True
87,24,87:24,7,6.948484848484849,330,0,54285,1.7307948374256892,5.645139093520453,313,True
87,25,87:25,8,7.948370277015841,330,0,54285,1.6273812117383306,5.090526237386379,313,True
88,1,88:1,15,14.791429192370943,330,0,54285,2.090848412872158,8.091777421002597,313,True
88,2,88:2,11,10.902640203512648,329,1,53956,1.8582853337520342,6.4127316445574785,313,True
88,3,88:3,8,7.999999999999995,330,0,54285,1.9644563041288226,7.131034422009499,313,True
88,4,88:4,8,7.99999993374036,327,3,53301,1.874845814116459,6.519813779579301,313,True
88,5,88:5,9,8.948484834040087,330,0,54285,1.8887492552177305,6.611094715591527,313,True
88,6,88:6,8,,141,189,9870,1.6670233267560914,5.296378720551488,313,False
88,7,88:7,7,7.0,330,0,54285,1.82273228330132,6.188744774270129,313,True
88,8,88:8,8,7.997775965601601,329,1,53956,1.8210158081666374,6.17813105944491,313,True
88,9,88:9,9,8.95136764095574,329,1,53956,1.8288882370993451,6.2269599057777105,313,True
88,10,88:10,10,9.954268292680819,328,2,53628,2.0379412794336846,7.674792670046675,313,True
88,11,88:11,8,8.0,328,2,53628,2.0162807556936313,7.51034013498337,313,True
88,12,88:12,7,6.9999999999958815,329,1,53956,1.5897673974821582,4.902608436624792,313,True
88,13,88:13,9,8.996815286624203,314,16,49141,1.853964392682483,6.385082387450634,313,True
88,14,88:14,9,8.99999999999824,323,7,52003,1.9167566413096642,6.7988714917200435,313,True
88,15,88:15,11,,294,36,43071,2.00571477074739,7.431403748880019,313,False
88,16,88:16,10,9.999921922940171,328,2,53628,1.9486845695802428,7.019447909539328,313,True
88,17,88:17,10,9.998042067574529,328,2,53628,2.035797238664178,7.6583552292329955,313,True
88,18,88:18,10,9.954268292680819,328,2,53628,2.022430209283776,7.556666919304537,313,True
88,19,88:19,10,9.926153846153849,325,5,52650,1.9842854010350741,7.27384764381239,313,True
88,20,88:20,10,9.999999859796718,329,1,53956,2.0108449983151826,7.469626503140965,313,True
88,21,88:21,11,,156,174,12090,2.103020821347675,8.190875750141583,313,False
88,22,88:22,18,17.84433590341706,323,7,52003,2.282055961343457,9.796801563588058,313,True
88,23,88:23,10,9.99777596084175,329,1,53956,1.9681728228147415,7.15758635450306,313,True
88,24,88:24,12,11.95126862514972,329,1,53956,1.954312573008002,7.059064763760843,313,True
89,1,89:1,9,,259,71,33411,1.9650416987258268,7.135210113125457,313,False
89,2,89:2,8,8.0,329,1,53956,1.9845800242276537,7.275991003753817,313,True
89,3,89:3,5,5.0,330,0,54285,1.535769215792556,4.644897084321902,313,True
89,4,89:4,8,7.999999804393845,330,0,54285,1.8726275037284492,6.505366838767939,313,True
89,5,89:5,9,8.99894889729771,324,6,52326,1.9320039494521357,6.9033303145943625,313,True
89,6,89:6,5,5.0,330,0,54285,1.5468501050735632,4.6966528952668485,313,True
89,7,89:7,6,6.0,330,0,54285,1.694583613550012,5.4443785277328836,313,True
