language_id,language_K,mean_rarefied_speaker_K,boot_K_lo,boot_K_hi,mean_effective_categories,boot_eff_lo,boot_eff_hi,mean_information_efficiency,boot_info_lo,boot_info_hi,mean_valid_chips,median_valid_chips,n_speakers,n_rarefaction_eligible
101,8.0,7.147226928137247,6.8273096902255155,7.463241836215236,6.03718831149082,5.684225907915627,6.385319092346548,0.32409923908701105,0.30425245403493084,0.3430154006611343,329.92,330.0,25,25
102,5.0,5.471905171836175,4.957961534129204,5.994667946708882,4.484235216940469,4.1931248389985365,4.801369626975563,0.2592878996709564,0.23940871975154168,0.2790498902703914,329.64,330.0,25,25
103,8.0,9.889472416205457,8.219847838338701,11.860078913117572,7.206614470959657,6.257372172598642,8.214062611663364,0.3509522503332843,0.3181647063891692,0.38049622250723336,329.8695652173913,330.0,23,23
104,3.0,3.195889310481941,3.04,3.353723909717681,2.9116624053289404,2.8637479726400934,2.966447961347631,0.2572893384046203,0.2512223821680655,0.26346756571190294,329.96,330.0,25,25
105,3.0,3.0,3.0,3.0,2.7850001246241294,2.7567825909390513,2.814075370805435,0.15089587982361788,0.1337767294874894,0.16799627983661644,329.4074074074074,330.0,27,27
106,12.0,11.34083678009872,11.016702679585427,11.625092783052486,8.875303207147324,8.554661382532545,9.173501697554261,0.4674973808304548,0.44954074774752517,0.484040329793748,329.92,330.0,25,25
107,5.0,6.127240051297152,5.705494678329384,6.54723324053365,5.224553704364413,4.999288302817434,5.467856973026351,0.3319471589977951,0.3138632590294469,0.3513861293037918,312.4,329.0,25,21
108,6.0,6.73801658224309,6.450518235807369,7.021943361310391,5.413708743141595,5.19544099529251,5.624638799150657,0.3499435800284872,0.3342878827582903,0.36320250478186417,326.2,329.0,25,24
109,7.0,7.677087291621682,6.903533544031638,8.53967731876811,5.551298670638669,5.1657282896548615,5.985657984437205,0.3627230260489641,0.34694994593241063,0.38009236089274323,327.48,330.0,25,24
110,8.0,7.829573639226689,7.4758601502672475,8.151780701534403,6.426633179669181,6.188303939935211,6.649117794449629,0.42053754033701546,0.40285587007084905,0.43516181715178487,329.92,330.0,25,25
