language_id,speaker_id,group_id,speaker_K_raw,speaker_K_rarefied,H_physical_bin_observed_MillerMadow,H_physical_bin_full,H_label_MillerMadow,I_physical_label_MillerMadow,information_efficiency,effective_colour_categories,n_chips,n_observed_chips,n_missing_chips,n_rarefaction_eligible
51,9,51:9,8,7.948484848484849,2.9648905455799617,2.9361026667920824,1.8336349767648612,1.0323941806981902,0.3516205997749255,6.256587925977006,330,330,0,True
51,10,51:10,10,9.999885232924836,2.9648905455799617,2.9361026667920824,2.1209364666142707,1.16212966322675,0.39580688930624686,8.338942974022059,330,330,0,True
51,11,51:11,8,7.997494703877682,2.9648905455799617,2.9361026667920824,1.9290897312450357,1.0109499296644167,0.3443169549547656,6.883241789092427,330,330,0,True
51,12,51:12,6,5.948484848484849,2.9648905455799617,2.9361026667920824,1.5588091768360934,0.9586009854129214,0.3264875565336639,4.753157703373884,330,330,0,True
51,13,51:13,8,7.948484848484849,2.9648905455799617,2.9361026667920824,1.9327034196967439,1.3462666649794968,0.4585216587301412,6.908160677888879,330,330,0,True
51,14,51:14,9,8.94848484848485,2.9648905455799617,2.9361026667920824,2.0390876272324596,1.0994095608863856,0.3744452036098503,7.683595696430982,330,330,0,True
51,15,51:15,8,7.994989407510159,2.9648905455799617,2.9361026667920824,1.6990239095611221,1.0553130060022204,0.3594264662261388,5.468606930825638,330,330,0,True
51,16,51:16,16,15.769383530906591,2.9651864437469717,2.9361026667920824,2.231563709469205,1.3518009609394568,0.4604065710060483,9.314419744020402,330,328,2,True
51,17,51:17,9,8.94837027701584,2.9648905455799617,2.9361026667920824,1.9439228117193432,1.0859436262123172,0.3698588739741836,6.986102452779486,330,330,0,True
51,18,51:18,15,14.858810936142238,2.966744285286221,2.9361026667920824,2.2632075212827956,1.370039954832407,0.4666185451645942,9.613876478304727,330,328,2,True
51,19,51:19,12,11.949143741996759,2.965876076088758,2.9361026667920824,2.2383013735953474,1.3662899060732328,0.46534132526299204,9.377389070658687,330,329,1,True
51,20,51:20,8,7.999995094799492,2.9648905455799617,2.9361026667920824,1.9305706717072568,1.1634628531221833,0.396260957180137,6.8934430122067525,330,330,0,True
51,21,51:21,7,6.997494508271527,2.9648905455799617,2.9361026667920824,1.6820996231331364,0.537898566448545,0.18320155236132815,5.376833451647592,330,330,0,True
51,22,51:22,11,10.896625982562673,2.9648905455799617,2.9361026667920824,1.9102955997353268,1.1605512532370217,0.39526930252238524,6.755085304861605,330,330,0,True
51,23,51:23,32,31.271261969961408,2.9648905455799617,2.9361026667920824,2.6845140139860204,1.17586723215363,0.40048573418529515,14.651079430126051,330,330,0,True
51,24,51:24,11,10.894459495639282,2.9648905455799617,2.9361026667920824,1.9285249450389181,1.2728608054444863,0.43352053722126294,6.879355326690064,330,330,0,True
51,25,51:25,11,10.94837026979346,2.9648905455799617,2.9361026667920824,2.1092487186533457,1.002839187155713,0.3415545370732529,8.24204686197527,330,330,0,True
52,1,52:1,11,10.94848484848485,2.9648905455799617,2.9361026667920824,2.2671076278536484,1.4137648269056846,0.4815106920121193,9.651444833803717,330,330,0,True
52,2,52:2,8,7.951367781155005,2.9634264472403125,2.9361026667920824,1.9062435301114593,1.0383563429597902,0.35365123798422016,6.727768610840841,330,329,1,True
52,3,52:3,6,6.0,2.9648905455799617,2.9361026667920824,1.7122761689794324,1.1114340713917539,0.3785406021261787,5.541560661724216,330,330,0,True
52,4,52:4,9,8.94848484848485,2.9648905455799617,2.9361026667920824,1.9550742698638626,1.2328356442130635,0.4198884658076453,7.064443679488253,330,330,0,True
52,5,52:5,10,9.845454545454334,2.9648905455799617,2.9361026667920824,1.8756894776247142,1.0940684524518862,0.3726260885990203,6.525316629496189,330,330,0,True
52,6,52:6,9,8.999995094554286,2.9648905455799617,2.9361026667920824,1.9335338194417526,0.874385879373888,0.2978049402915538,6.913899595222243,330,330,0,True
52,7,52:7,14,13.945974647162023,2.9648905455799617,2.9361026667920824,2.317729542483375,1.2873937532412256,0.4384702782371715,10.152597077705238,330,330,0,True
52,8,52:8,7,7.0,2.965876076088758,2.9361026667920824,1.9091338543676024,1.2948770664059865,0.4410190014985883,6.747242172543543,330,329,1,True
52,9,52:9,17,16.845449632533445,2.9648905455799617,2.9361026667920824,2.3617247183556542,0.8460604563797931,0.2881576540047147,10.609233622072487,330,330,0,True
52,10,52:10,11,10.999656285592762,2.9648905455799617,2.9361026667920824,2.0639698647739904,1.320145020052239,0.4496249518054486,7.8771791569413,330,330,0,True
52,11,52:11,11,10.999880516108103,2.9648905455799617,2.9361026667920824,2.1589031536562096,1.3229081781824885,0.4505660490502763,8.661631966920774,330,330,0,True
52,12,52:12,11,10.896969696724488,2.9648905455799617,2.9361026667920824,2.007677402074917,1.3724218501884686,0.46742978905705124,7.4460031766459,330,330,0,True
52,13,52:13,16,15.94597935651096,2.9648905455799617,2.9361026667920824,2.521318948114677,1.0410338905941234,0.35456317736039283,12.44500015301279,330,330,0,True
52,14,52:14,12,11.999885428285781,2.9648905455799617,2.9361026667920824,2.2144817577645304,1.2878613420050464,0.4386295331464461,9.156662512521049,330,330,0,True
